R Code,LaTex,Variable,Description,Value,Units,,,,,,,,,,,
aLim_Irr = (exp(1)/(aHeight*aShading))*(exp(-aIrr_Canopy*exp(-aShading*aHeight)/aIrr_Sat)-exp(-aIrr_Canopy/aIrr_Sat)),L_{I} = \frac{e}{\zeta z_{m}}\left( e^{\frac{-I_{C} e^{-\zeta z_{m}}}{\hat{I}}}-e^{\frac{-I_{C}}{\hat{I}}}\right),$L_{I} $,Growth limitation multiplier due to irradiance,$ \frac{e}{\zeta z_{m}}\left( e^{\frac{-I_{C} e^{-\zeta z_{m}}}{\hat{I}}}-e^{\frac{-I_{C}}{\hat{I}}}\right)$,1,,,,,,,,,,,
aInternal_N_Quota = aQ_Min*(1+sN_Stored/aN_Fixed),Q = Q_{min}(1+N_{s}/N_{f}),$Q $,Internal nutrient quota,$ Q_{min}(1+N_{s}/N_{f})$,kg N per kg dry weight,,,,,,,,,,,
aLim_Nutrient = (aInternal_N_Quota - aQ_Min)/(aInternal_N_Quota - aHalf_Growth),L_{N} = \frac{Q - Q_{min}}{Q - K_{c}},$L_{N} $,Growth limitation multiplier due to nutrients,$ \frac{Q - Q_{min}}{Q - K_{c}}$,1,,,,,,,,,,,
aUptake_NH4 = aMax_Uptake_NH4*(sNH4/(aHalf_Sat_NH4 + sNH4))*((aQ_Max-aInternal_N_Quota)/(aQ_Max - aQ_Min)),U_{NH_{4}}' = U_{NH_{4 max}} \left( \frac{NH_{4}}{NH_{4} + K_{NH_{4}}} \right) \left( \frac{Q_{max} - Q}{Q_{max} - Q_{min}} \right),$U_{NH_{4}}' $,Maximum uptake of $NO_{3}$ into tissues,$ U_{NH_{4 max}} \left( \frac{NH_{4}}{NH_{4} + K_{NH_{4}}} \right) \left( \frac{Q_{max} - Q}{Q_{max} - Q_{min}} \right)$,mg N kg^{-1} dw d^{-1},,,,,,,,,,,
aUptake_NO3 = aMax_Uptake_NO3*(sNO3/(aHalf_Sat_NO3 + sNO3))*((aQ_Max-aInternal_N_Quota)/(aQ_Max - aQ_Min)),U_{NO_{3}}' = U_{NO_{3 max}} \left( \frac{NO_{3}}{NO_{3} + K_{NO_{3}}} \right) \left( \frac{Q_{max} - Q}{Q_{max} - Q_{min}} \right),$U_{NO_{3}}' $,Maximum uptake of $NH_{4}$ into tissues,$ U_{NO_{3 max}} \left( \frac{NO_{3}}{NO_{3} + K_{NO_{3}}} \right) \left( \frac{Q_{max} - Q}{Q_{max} - Q_{min}} \right)$,mg N kg^{-1} dw d^{-1},,,,,,,,,,,
aSurface_Area = 5.13* aDry_Biomass^0.78,SA = 5.13 \cdot B^{0.78},$SA $,Converts biomass to surface area,$ 5.13 \cdot B^{0.78}$,m^{2},m2/kg; Using Model from Starko & Martone 2016,,,,,,,,,,
aOld_Biomass = sum(stocks[aOld_Age:FINISH]),"B_ {S} = \sum_{t=t_{sen}}^{t_{\omega}} \bm{S,t}",$B_ {S} $,Quantity of senesced biomass,"$ \sum_{t=t_{sen}}^{t_{\omega}} \bm{S,t}$",kg dw,,,,,,,,,,,
aNitrogen_Production = aMax_Production*aLim_Nutrient*aLim_Irr*aLim_Temp*((aDry_Biomass - aOld_Biomass)/aDry_Biomass),\mu_{N} =\hat{\mu} L_{T}L_{I}L_{N}\frac{B-B_{S}}{B},$\mu_{N} $,Production of nitrogen as biomass,$\hat{\mu} L_{T}L_{I}L_{N}\frac{B-B_{S}}{B}$,kg N d^{-1},,,,,,,,,,,
aProduction = aNitrogen_Production*sN_Stored/(aQ_Min),\mu = \frac{\mu_{N}N_{s}}{Q_{min}},$\mu $,Production of dry matter,$ \frac{\mu_{N}N_{s}}{Q_{min}}$,kg dw d^{-1},,,,,,,,,,,
"aBmass_1_Day = conv_leak(stocks[1:FINISH], aProduction, aLoss)","S_{t}' = \begin{cases} S_{1} = \mu,& \text{if}\ t =1 \\ (1 - L)S_{t-1},& \text{if}\ t \not=1 \end{cases}",$S_{t}' $,Vector of biomass at each age class,"$ \begin{cases} S_{1} = \mu,& \text{if}\ t =1 \\ (1 - L)S_{t-1},& \text{if}\ t \not=1 \end{cases}$",kg dw ,,,,,,,,,,,
